Description,Beat,Zip Code,Area,DVFlag,Firearm Used Flag
Theft From Motor Vehicle,544,64139,SPD,FALSE,FALSE
,533,64131,SPD,FALSE,FALSE
Aggravated Assault,342,64129,EPD,FALSE,TRUE
,322,64127,EPD,FALSE,FALSE
False Pretenses / Swindle,312,,EPD,FALSE,FALSE
,314,64124,EPD,FALSE,FALSE
,634,6411,SCP,FALSE,FALSE
All Other Larceny,232,64131,MPD,FALSE,FALSE
Shoplifting,133,64111,CPD,FALSE,FALSE
Theft From Building,224,64113,MPD,FALSE,FALSE
Arson,312,64125,EPD,FALSE,FALSE
Motor Vehicle Theft,344,64129,EPD,FALSE,FALSE
,631,64116,SCP,FALSE,FALSE
Simple Assault,211,,MPD,FALSE,FALSE
,532,64134,SPD,FALSE,FALSE
Drug / Narcotic Violations,115,64106,CPD,FALSE,FALSE
All Other Larceny,142,64109,CPD,FALSE,FALSE
Weapon Law Violations,312,64120,EPD,FALSE,FALSE
,111,64105,CPD,FALSE,FALSE
Vandalism/Destruction of Property,314,64124,EPD,FALSE,FALSE
Vandalism/Destruction of Property,222,64130,MPD,FALSE,FALSE
Shoplifting,331,64128,EPD,FALSE,FALSE
,113,,CPD,FALSE,FALSE
Aggravated Assault,323,64128,EPD,FALSE,TRUE
Aggravated Assault,122,64106,CPD,FALSE,TRUE
Aggravated Assault,414,64151,NPD,FALSE,TRUE
Aggravated Assault,323,64128,EPD,FALSE,TRUE
Aggravated Assault,124,64109,CPD,FALSE,FALSE
Motor Vehicle Theft,224,64113,MPD,FALSE,FALSE
,315,64125,EPD,FALSE,FALSE
,124,64109,CPD,FALSE,FALSE
Aggravated Assault,211,64130,MPD,FALSE,TRUE
Robbery,242,64131,MPD,FALSE,TRUE
All Other Offenses,531,,SPD,FALSE,FALSE
Robbery,533,64114,SPD,FALSE,FALSE
Burglary/Breaking and Entering,341,64127,EPD,FALSE,FALSE
Aggravated Assault,133,64111,CPD,FALSE,TRUE
Trespass of Real Property,223,64130,MPD,FALSE,FALSE
Vandalism/Destruction of Property,231,,MPD,FALSE,FALSE
Forcible Rape,421,64152,NPD,FALSE,FALSE
,212,64130,MPD,FALSE,FALSE
Robbery,131,64111,CPD,FALSE,TRUE
Aggravated Assault,313,64124,EPD,FALSE,TRUE
Aggravated Assault,312,64125,EPD,FALSE,TRUE
,113,64106,CPD,FALSE,FALSE
,111,64108,CPD,FALSE,FALSE
Vandalism/Destruction of Property,532,64134,SPD,FALSE,FALSE
,314,64124,EPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Trespass of Real Property,113,64106,CPD,FALSE,FALSE
Shoplifting,533,64114,SPD,FALSE,FALSE
,334,64130,EPD,FALSE,FALSE
All Other Offenses,631,,SCP,FALSE,FALSE
,113,,CPD,FALSE,FALSE
Aggravated Assault,342,64133,EPD,FALSE,TRUE
Aggravated Assault,211,63131,MPD,FALSE,TRUE
Aggravated Assault,415,64118,NPD,TRUE,FALSE
Burglary/Breaking and Entering,242,64132,MPD,FALSE,FALSE
Shoplifting,113,64106,CPD,FALSE,FALSE
Simple Assault,415,64118,NPD,FALSE,FALSE
Counterfeiting / Forgery,532,64137,SPD,FALSE,FALSE
Identity Theft,544,64139,SPD,FALSE,FALSE
,999,64086,OSPD,FALSE,FALSE
Burglary/Breaking and Entering,533,64114,SPD,FALSE,FALSE
,345,64133,EPD,FALSE,FALSE
Shoplifting,414,64151,NPD,FALSE,FALSE
Forcible Rape,642,64119,SCP,FALSE,FALSE
,112,64105,CPD,FALSE,FALSE
Robbery,542,64138,SPD,FALSE,TRUE
Aggravated Assault,233,64131,MPD,FALSE,TRUE
All Other Offenses,636,64161,SCP,FALSE,FALSE
Intimidation,411,64115,NPD,FALSE,FALSE
,999,64068,OSPD,FALSE,FALSE
Shoplifting,234,64114,MPD,FALSE,FALSE
All Other Larceny,123,,CPD,FALSE,FALSE
Shoplifting,533,64114,SPD,FALSE,FALSE
,121,64106,CPD,FALSE,FALSE
Aggravated Assault,343,64127,EPD,FALSE,TRUE
,133,64111,CPD,FALSE,FALSE
Theft From Motor Vehicle,632,64117,SCP,FALSE,FALSE
Trespass of Real Property,212,64129,MPD,FALSE,FALSE
Shoplifting,213,64129,MPD,FALSE,FALSE
Simple Assault,342,64127,EPD,FALSE,FALSE
False Pretenses / Swindle,312,,EPD,FALSE,FALSE
Motor Vehicle Theft,343,64128,EPD,FALSE,FALSE
Simple Assault,223,64130,MPD,FALSE,FALSE
,636,64161,SCP,FALSE,FALSE
Simple Assault,412,64118,NPD,FALSE,FALSE
Aggravated Assault,341,64108,EPD,FALSE,TRUE
Aggravated Assault,314,64124,EPD,FALSE,TRUE
Driving Under the Influence,122,64111,CPD,FALSE,FALSE
Arson,232,64131,MPD,FALSE,FALSE
Aggravated Assault,532,64134,SPD,FALSE,TRUE
Simple Assault,414,64151,NPD,FALSE,FALSE
Motor Vehicle Theft,132,64111,CPD,FALSE,FALSE
,322,64127,EPD,FALSE,FALSE
Simple Assault,232,,MPD,FALSE,FALSE
Simple Assault,345,64133,EPD,FALSE,FALSE
Vandalism/Destruction of Property,213,,MPD,TRUE,FALSE
Counterfeiting / Forgery,634,64119,SCP,FALSE,FALSE
,421,64152,NPD,FALSE,FALSE
Simple Assault,123,64108,CPD,FALSE,FALSE
Disorderly Conduct,345,64133,EPD,FALSE,FALSE
,234,,MPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Intimidation,234,64131,MPD,FALSE,FALSE
Intimidation,414,64151,NPD,FALSE,FALSE
Vandalism/Destruction of Property,323,64127,EPD,FALSE,FALSE
Simple Assault,143,64110,CPD,FALSE,FALSE
Shoplifting,134,64112,CPD,FALSE,FALSE
,113,64106,CPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
All Other Larceny,635,64117,SCP,FALSE,FALSE
Theft From Building,131,64111,CPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Motor Vehicle Theft,421,64152,NPD,FALSE,FALSE
,312,64120,EPD,FALSE,FALSE
Prostitution,342,64129,EPD,FALSE,FALSE
,343,64128,EPD,FALSE,FALSE
Aggravated Assault,633,64119,SCP,FALSE,TRUE
Motor Vehicle Theft,132,64111,CPD,FALSE,FALSE
Murder,233,64131,MPD,FALSE,TRUE
Robbery,132,64109,CPD,FALSE,TRUE
All Other Larceny,142,64130,CPD,FALSE,FALSE
Vandalism/Destruction of Property,223,64130,MPD,FALSE,FALSE
Vandalism/Destruction of Property,221,64110,MPD,FALSE,FALSE
Simple Assault,233,64131,MPD,TRUE,FALSE
Vandalism/Destruction of Property,533,64114,SPD,FALSE,FALSE
Aggravated Assault,535,64147,SPD,FALSE,TRUE
Simple Assault,115,64108,CPD,FALSE,FALSE
Trespass of Real Property,313,64124,EPD,FALSE,FALSE
Theft From Motor Vehicle,643,64157,SCP,FALSE,FALSE
Wire Fraud,233,64131,MPD,FALSE,FALSE
Aggravated Assault,242,64132,MPD,FALSE,FALSE
"Family Offenses, Nonviolent",635,,SCP,FALSE,FALSE
Motor Vehicle Theft,232,64131,MPD,FALSE,FALSE
,132,,CPD,FALSE,FALSE
Motor Vehicle Theft,223,64130,MPD,FALSE,FALSE
Aggravated Assault,241,64132,MPD,FALSE,TRUE
Vandalism/Destruction of Property,322,64127,EPD,FALSE,FALSE
All Other Offenses,141,64109,CPD,FALSE,FALSE
Trespass of Real Property,115,64108,CPD,FALSE,FALSE
Trespass of Real Property,133,64111,CPD,FALSE,FALSE
Identity Theft,223,64130,MPD,FALSE,FALSE
All Other Offenses,641,64119,SCP,FALSE,FALSE
Simple Assault,321,64127,EPD,TRUE,FALSE
Simple Assault,314,64124,EPD,FALSE,FALSE
False Pretenses / Swindle,113,64106,CPD,FALSE,FALSE
All Other Offenses,642,64155,SCP,FALSE,FALSE
Aggravated Assault,112,64106,CPD,FALSE,TRUE
Simple Assault,332,64128,EPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Vandalism/Destruction of Property,111,64105,CPD,FALSE,FALSE
,233,64131,MPD,FALSE,FALSE
,345,64133,EPD,FALSE,FALSE
Motor Vehicle Theft,114,64108,CPD,FALSE,FALSE
Aggravated Assault,321,64127,EPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Drug Equipment Violations,635,64117,SCP,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Simple Assault,414,64151,NPD,FALSE,FALSE
,421,64151,NPD,FALSE,FALSE
Simple Assault,113,64108,CPD,FALSE,FALSE
,344,64126,EPD,FALSE,FALSE
Robbery,111,64105,CPD,FALSE,TRUE
Aggravated Assault,223,64130,MPD,FALSE,FALSE
Aggravated Assault,211,64130,MPD,FALSE,TRUE
Aggravated Assault,115,64108,CPD,FALSE,TRUE
All Other Larceny,422,64155,NPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Vandalism/Destruction of Property,122,64106,CPD,FALSE,FALSE
,144,64110,CPD,FALSE,FALSE
Forcible Sodomy,324,64127,EPD,TRUE,FALSE
Murder,121,64124,CPD,FALSE,TRUE
,223,,MPD,FALSE,FALSE
Motor Vehicle Theft,122,64109,CPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Simple Assault,643,64157,SCP,FALSE,FALSE
All Other Larceny,343,64128,EPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
Robbery,233,64114,MPD,FALSE,TRUE
Forcible Rape,144,64130,CPD,FALSE,FALSE
Robbery,334,64130,EPD,FALSE,FALSE
Disorderly Conduct,115,64108,CPD,FALSE,FALSE
Shoplifting,232,64110,MPD,FALSE,FALSE
Motor Vehicle Theft,534,64137,SPD,FALSE,FALSE
Simple Assault,323,64127,EPD,FALSE,FALSE
Vandalism/Destruction of Property,134,64111,CPD,FALSE,FALSE
,113,,CPD,FALSE,FALSE
Burglary/Breaking and Entering,542,64138,SPD,FALSE,FALSE
Simple Assault,242,64132,MPD,FALSE,FALSE
,213,,MPD,FALSE,FALSE
Motor Vehicle Theft,142,64110,CPD,FALSE,FALSE
Murder,133,64111,CPD,FALSE,TRUE
Murder,999,64114,OSPD,FALSE,TRUE
Simple Assault,535,64146,SPD,TRUE,FALSE
Shoplifting,411,64116,NPD,FALSE,FALSE
Trespass of Real Property,345,64133,EPD,FALSE,FALSE
Shoplifting,345,64133,EPD,FALSE,FALSE
,115,64108,CPD,FALSE,FALSE
,531,64114,SPD,FALSE,FALSE
Motor Vehicle Theft,322,64127,EPD,FALSE,FALSE
,224,64110,MPD,FALSE,FALSE
,231,64113,MPD,FALSE,FALSE
Simple Assault,111,64106,CPD,FALSE,FALSE
Trespass of Real Property,345,64133,EPD,FALSE,FALSE
,535,64145,SPD,FALSE,FALSE
Aggravated Assault,544,64139,SPD,FALSE,FALSE
,113,64106,CPD,FALSE,FALSE
Intimidation,213,64130,MPD,FALSE,FALSE
,212,64129,MPD,FALSE,FALSE
Robbery,242,64132,MPD,TRUE,TRUE
